Name,Year,Artist,Material,Neighborhood,Latitude,Longitude,Source,About,Title Status,Link
Four Corners Resident Bear,2014,Jamie Doeren,Wood,Shorewood Hills,43.08175,-89.44697,Ben Isaacs,"After succumbing to rot in 2011, a 120 year-old red oak in Shorewood Hills' Four Corners Park was carved into a sculpture representing Wisconsin's native animals by Jamie Doeren. The sculpture was comissioned by the Village of Shorewood Hills following disagreement in the community over turning the tree into firewood.",Verified,https://www.shorewood-hills.org/vertical/sites/%7B00D5AF3F-ADFE-4173-AF3A-FC0C1A78DA4B%7D/uploads/4-corners-bear.pdf
Untitled,Unknown,Unknown,Metal,Shorewood Hills,43.07783,-89.44385,Ben Isaacs,,Unverified,
Shift,2021,Julia Schilling,Metal,Regent,43.07295,-89.42876,Ben Isaacs,A series of steel panels perforated with patterns is attached to the concrete walls of the Highland Avenue underpass. LED fixtures behind the panels illuminate the previously dark underpass at night with a fantastic light display.,,https://www.regentneighborhood.org/underpass-art.html
Visible Bucky,2018,"Philip Salamone, Sarah Gerg",Fiberglass,Regent,43.0722,-89.42849,Ben Isaacs,"As part of the ""Bucky on Parade"" public art event, 85 Bucky Badger statues by different artists were unveiled across Madison. This one is painted with Bucky's muscles and internal organs visible through his clothing, skin, and fur, and originally was displayed in front of Science Hall before being moved to its current location on the corner of Old University and Highland Avenues.",Verified,https://www.philipsalamone.com/new-blog/2018/5/25/bucky-on-parade-unveiled
Rachel in Mourning,2002,Unknown,Metal,Sunset Hills,43.06774,-89.43358,Ben Isaacs,Donated by the Knights of Columbus Catholic fraternal organization in memory of the victims of abortion in 2002. The sculpture faces a gravestone for the victims that was dedicated in October 1995.,Verified,
Untitled,Unknown,Unknown,Stone,Sunset Hills,43.06765,-89.43378,Ben Isaacs,A statue of an angel sitting with a bouquet of flowers in her hands.,Unverified,
Joseph Our Patron,Unknown,Unknown,Stone,Sunset Hills,43.0664,-89.43521,Ben Isaacs,"A statue of Saint Joseph, holding a hammer and carpenter's square, stands overlooking Resurrection Cemetery.",Verified,
Memorial to the Unborn Child II,2020,Martin Hudacek,"Glass, stone",Sunset Hills,43.06494,-89.4336,Ben Isaacs,"A statue of a mother and father weeping before their unborn child, rendered in glass. The statue sits atop a granite columbarium pedestal where the remains of cremated unborn children are put in niches. A memorial brick walkway surrounds the statue.",Verified,https://madisoncatholicherald.org/memorial-statue/
Fratres Ordinis,Unknown,Unknown,Stone,Sunset Hills,43.06503,-89.43463,Ben Isaacs,,Unverified,
Our Lady Queen of Peace,Unknown,Unknown,Stone,Westmorland,43.05985,-89.44653,Ben Isaacs,,Unverified,
Untitled,Unknown,Dr Evermor?,Metal,Dudgeon-Monroe,43.05543,-89.42669,Ben Isaacs,,Unverified,
Anchorlily 2,2012,William Turnbull,Metal,Dudgeon-Monroe,43.05852,-89.42672,Ben Isaacs,A simple but elegant sculpture of a lilypad with an anchor for its roots welcomes visitors to Wingra Park. The sculpture was installed in 2018 along with the new park entrance.,Verified,https://www.telegraphherald.com/features/article_05cd9aa3-7323-5e58-bd62-902b21757a57.html
Jesus and the Children,1965 ca.,Unknown,Metal,Dudgeon-Monroe,43.05845,-89.42095,Ben Isaacs,Was installed sometime around or before 1965.,Verified,https://digitalcollections.edgewood.edu/digital/collection/p2612coll5/id/122
The Rock,1975-,Edgewood High School students,Stone,Dudgeon-Monroe,43.06114,-89.42254,Ben Isaacs,"Unearthed in 1975, ""The Rock"" has gone on to become an outlet for Edgewood High School students, who paint messages on it for school events.",Verified,https://www.edgewoodhs.org/about/our_history
Sacred Heart of Jesus Grotto,1970 ca.,Unknown,Stone,Dudgeon-Monroe,43.06003,-89.42107,Ben Isaacs,,Verified,https://www.edgewoodhs.org/about/facilities
Old Woman in a Shoe Slide,1962,Warren Walder,,Vilas,43.06074,-89.41214,Ben Isaacs,"The slide, located on the playground at Vilas Park, has had many different appearances over the years, with the Madison Metropolitan School District and the Madison Art Museum's Art Cart program for children joining forces to repaint the exterior of the shoe.",Verified,http://www.chasingroots.com/2014/10/my-roots-there-was-old-woman-who-lived.html
Annie C. Stewart Fountain,1925,Frederick J. Clasgens,Marble,Vilas,43.05992,-89.40856,Ben Isaacs,"The fountain took seven years to build, and did not function as a fountain for much time after it was completed in 1925. It is known for its deteriorated state, with parts of the sculpture broken off and indiscernable. In 2016, the City of Madison began the process of refurbishing the fountain. When complete it will not function as a fountain. As of 2022, the project is still incomplete.",Verified,https://www.cityofmadison.com/sites/default/files/city-of-madison/parks/documents/projects/Annie%20Stewart%20Fountain%208-15-17_lower%20res.pdf
The Badger,2019,Harry Whitehorse,Bronze,Dudgeon-Monroe,43.06739,-89.41378,Ben Isaacs,"The sculpture was installed after the death of its artist, Ho-Chunk sculptor Harry Whitehorse. ",Verified,https://www.cityofmadison.com/calendar/harry-whitehorses-badger-sculpture-dedication
St. Joseph,Unknown,Unknown,Stone,Greenbush,43.05851,-89.40267,Ben Isaacs,"The statue is located in the Sisters' Garden behind St. Mary's Hospital. St. Joseph was a favorite saint of Mother Odilia, the foundress of the order that built the hospital.",Unverified,https://www.ssmhealth.com/donate/wisconsin/st-marys-foundation-madison/gardens-st-marys-madison
Untitled,2007,Unknown,Stone,Capitol View Heights,43.04551,-89.38837,Ben Isaacs,The sculpture was installed at the Jess Bullen Memorial Garden in memory of a 29 year-old car crash victim. The turtle sculptures refers to Jess's fondness of turtles.,Unverified,https://www.cityofmadison.com/dpced/planning/documents/neighprojects.pdf
